test,symbol,period,horizon_bars,n,hit_rate,avg_ret,sharpe
btc_impulse_alt_lag,DOGE/USDT,IS,3,189,0.36507936507936506,0.003911767186179902,0.07472819237702924
btc_impulse_alt_lag,DOGE/USDT,IS,6,189,0.37037037037037035,0.004702312095666352,0.06031652520158838
btc_impulse_alt_lag,DOGE/USDT,OOS,1,2,1.0,0.021857779854742132,6.038514394986329
btc_impulse_alt_lag,DOGE/USDT,OOS,3,2,1.0,0.07957143135307743,0.9335079606060116
btc_impulse_alt_lag,DOGE/USDT,OOS,6,2,0.5,0.02055026578655289,0.34928414156336324
btc_impulse_alt_lag,DOGE/USDT,full,1,191,0.33507853403141363,0.0035007246011607026,0.12078211157138599
btc_impulse_alt_lag,DOGE/USDT,full,3,191,0.3717277486910995,0.0047040149785034365,0.08875200538590937
btc_impulse_alt_lag,DOGE/USDT,full,6,191,0.3717277486910995,0.0048682592547332265,0.06266794200059225
ethbtc_above_ma,DOGE/USDT,IS,42,5567,0.4038081552002874,0.06066250642762381,0.1298322632425636
ethbtc_below_ma,DOGE/USDT,IS,42,7278,0.48172574883209673,0.021033455479784652,0.13128978341763228
ethbtc_above_ma,DOGE/USDT,OOS,42,1182,0.3316412859560068,-0.022320327468221865,-0.2082870018602564
ethbtc_below_ma,DOGE/USDT,OOS,42,967,0.5056876938986556,0.008404807654616216,0.08866839806587021
ethbtc_above_ma,DOGE/USDT,full,42,6749,0.39116906208327157,0.046129137089219674,0.10781024370559412
ethbtc_below_ma,DOGE/USDT,full,42,8245,0.4845360824742268,0.019552327226669084,0.12693949040152258
alt_btc_rs_breakout,XRP/USDT,IS,6,526,0.46387832699619774,0.01604884111961019,0.15414234596694137
alt_btc_rs_breakout,XRP/USDT,IS,18,526,0.44106463878326996,0.01979868638739053,0.11958462099147364
alt_btc_rs_breakout,XRP/USDT,IS,42,526,0.4752851711026616,0.035335824429048986,0.1489215724761535
alt_btc_rs_breakout,XRP/USDT,OOS,6,74,0.44594594594594594,-0.0004681400442054424,-0.010857649165242511
alt_btc_rs_breakout,XRP/USDT,OOS,18,73,0.547945205479452,0.021503829335576128,0.26311458359505885
alt_btc_rs_breakout,XRP/USDT,OOS,42,72,0.3611111111111111,0.00746249010410764,0.05729999047659486
alt_btc_rs_breakout,XRP/USDT,full,6,600,0.46166666666666667,0.014011746776072928,0.14184977166366614
alt_btc_rs_breakout,XRP/USDT,full,18,599,0.4540901502504174,0.020006491788421493,0.1268644387172072
alt_btc_rs_breakout,XRP/USDT,full,42,598,0.46153846153846156,0.03197983768758448,0.14076917687993776
btc_impulse_alt_lag,XRP/USDT,IS,1,155,0.5483870967741935,0.0018146086094443577,0.06732587867571432
btc_impulse_alt_lag,XRP/USDT,IS,3,155,0.5225806451612903,0.0024390694421245083,0.045083791887113055
btc_impulse_alt_lag,XRP/USDT,IS,6,155,0.4838709677419355,0.00035292338115103114,0.005763113419262323
btc_impulse_alt_lag,XRP/USDT,OOS,1,2,0.5,-0.0008720355432354499,-0.061640557225252586
btc_impulse_alt_lag,XRP/USDT,OOS,3,2,0.0,-0.025395876055385957,-4.211178950964979
