symbol,direction,horizon_bars,n,hit_rate,avg_ret,directional_avg,sharpe,rows,first,last
ONDO/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
FIL/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
FIL/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
FIL/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
FIL/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
FIL/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
FIL/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
WIF/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
WIF/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
WIF/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
WIF/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
WIF/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
WIF/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
