symbol,direction,horizon_bars,n,hit_rate,avg_ret,directional_avg,sharpe,rows,first,last
SEI/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
TIA/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
TIA/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
TIA/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
TIA/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
TIA/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
TIA/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
WLD/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
WLD/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
WLD/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
WLD/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
WLD/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
WLD/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
FET/USDT,long,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
FET/USDT,long,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
FET/USDT,long,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
FET/USDT,short,6,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
FET/USDT,short,18,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
FET/USDT,short,42,0,,,,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
RENDER/USDT,long,6,1,0.0,-0.04112239961296571,-0.04112239961296571,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
RENDER/USDT,long,18,1,0.0,-0.10159651669085634,-0.10159651669085634,,181,2026-04-15 16:00:00,2026-05-15 16:00:00
