score_col,horizon_d,period,direction,n,hit_rate,avg_ret,std_ret,sharpe,directional_avg
vol_expansion_dir,7,full,short,8971,0.46772935012819084,0.0008786226101082748,0.04078731489960075,-0.02154156536832669,-0.0008786226101082748
vol_expansion_dir,30,IS,long,7034,0.5272959909013364,0.01203695992946926,0.0765923391139896,0.15715618648955332,0.01203695992946926
vol_expansion_dir,30,IS,short,6162,0.4508276533592989,0.006643041602249487,0.07388707207247194,-0.08990803689898115,-0.006643041602249487
vol_expansion_dir,30,OOS,long,1094,0.4954296160877514,-0.0010724523661110206,0.039043859168585875,-0.027467888393929572,-0.0010724523661110206
vol_expansion_dir,30,OOS,short,1067,0.4948453608247423,-0.0032458097692933045,0.049121663393651566,0.06607695149250156,0.0032458097692933045
vol_expansion_dir,30,full,long,10087,0.5203727570139783,0.010542300024326379,0.07992666675660516,0.1318996581757885,0.010542300024326379
vol_expansion_dir,30,full,short,8969,0.45802207603969225,0.004647549398222865,0.07771525135153748,-0.059802282272756496,-0.004647549398222865
squeeze_breakout_score,1,IS,long,236,0.5338983050847458,0.0009950974322143517,0.012070707961250999,0.08243902805111197,0.0009950974322143517
squeeze_breakout_score,1,IS,short,213,0.48826291079812206,-0.0011383910349783391,0.014209733823095995,0.08011346652588516,0.0011383910349783391
squeeze_breakout_score,1,OOS,long,35,0.4857142857142857,0.00012472381665610107,0.010276712993055015,0.012136547623777097,0.00012472381665610107
squeeze_breakout_score,1,OOS,short,34,0.35294117647058826,0.0007585373212520808,0.009133110260516381,-0.08305356002667963,-0.0007585373212520808
squeeze_breakout_score,1,full,long,334,0.5389221556886228,0.0015938573766588638,0.013818082639057977,0.11534576961883926,0.0015938573766588638
squeeze_breakout_score,1,full,short,300,0.51,-0.0015353452290576386,0.014142158786749404,0.1085651244770488,0.0015353452290576386
squeeze_breakout_score,7,IS,long,236,0.4872881355932203,0.0012846479870047862,0.039230026992050596,0.03274654863900812,0.0012846479870047862
squeeze_breakout_score,7,IS,short,213,0.4647887323943662,-0.0005893988671425773,0.033693122056239665,0.0174931508620296,0.0005893988671425773
squeeze_breakout_score,7,OOS,long,35,0.4,-0.0034604110444601925,0.01792746953485079,-0.19302283781507446,-0.0034604110444601925
squeeze_breakout_score,7,OOS,short,34,0.4117647058823529,-0.002014023024165185,0.02931941882144296,0.06869246066679245,0.002014023024165185
squeeze_breakout_score,7,full,long,334,0.48502994011976047,0.001331528626471773,0.03928080084645012,0.03389769550974177,0.001331528626471773
squeeze_breakout_score,7,full,short,300,0.48,-0.0040735793511658255,0.03963385342620982,0.10278030014795311,0.0040735793511658255
squeeze_breakout_score,30,IS,long,236,0.5127118644067796,0.011011937648956745,0.07819472110707248,0.14082712353277704,0.011011937648956745
squeeze_breakout_score,30,IS,short,213,0.43661971830985913,0.005603256496525713,0.06418425774424265,-0.0872995449889475,-0.005603256496525713
squeeze_breakout_score,30,OOS,long,34,0.5294117647058824,9.3415622070851e-05,0.03496149406022745,0.0026719573800228855,9.3415622070851e-05
squeeze_breakout_score,30,OOS,short,34,0.5588235294117647,-0.006387902518755624,0.04527762321659798,0.14108299122057122,0.006387902518755624
squeeze_breakout_score,30,full,long,333,0.5105105105105106,0.008782777895027771,0.08049322155223756,0.10911201869747535,0.008782777895027771
squeeze_breakout_score,30,full,short,300,0.43666666666666665,0.004366626189674223,0.06727533538058122,-0.06490679184238794,-0.004366626189674223
